geolocation_zip_code_prefix,lat,long
2260,-23.469035641632104,-46.58029668896044
2261,-23.467468969356062,-46.57703881770206
2262,-23.46575669381631,-46.574914701156395
2263,-23.463448734064382,-46.5757411453652
2264,-23.462487423562372,-46.57681147023818
2265,-23.474280567921543,-46.59199690749626
2266,-23.47660932412278,-46.59774193616386
2267,-23.478581081877604,-46.60060484078508
2268,-23.47019935954048,-46.5947342214466
2269,-23.472164677483207,-46.59598094068215
2270,-23.47245491100899,-46.592951773132825
2271,-23.469952208874616,-46.58996609613956
2272,-23.469139356513782,-46.58646005442059
2273,-23.46398124693344,-46.586590982769174
2274,-23.46698860833935,-46.587803485817076
2275,-23.465761260364744,-46.59050519098779
2276,-23.461457554116162,-46.583765697286594
2277,-23.46367386503303,-46.5817825928042
2278,-23.462830785328975,-46.579659947272894
2279,-23.467100135882163,-46.58036960841839
2280,-23.45598265131201,-46.575069429717196
2281,-23.452043757158027,-46.575032849608434
2282,-23.442770497275742,-46.56745925492803
2284,-23.46970319641185,-46.56868272083551
2286,-23.40858677491484,-46.57960324340701
2288,-23.43400544023699,-46.570702212116736
2289,-23.418175466342582,-46.58293543352188
2290,-23.600461999607678,-46.65531792495907
2301,-23.48874067136828,-46.61510536267406
2302,-23.486036090176416,-46.61395775331911
2303,-23.482212791812774,-46.6106639377861
2304,-23.480823705875945,-46.60545933153238
2305,-23.480094457602288,-46.60676524219523
2306,-23.46169028228203,-46.603238482521355
2307,-23.48108905105705,-46.60726404301235
2308,-23.475995987365,-46.60395399492626
2309,-23.475252604969448,-46.60476545858774
2310,-23.473173683753753,-46.6008986313877
2311,-23.469114505210605,-46.6017537995683
2312,-23.46461608784015,-46.59831646143898
2313,-23.463858358881968,-46.59995679767736
2314,-23.462317712023278,-46.598708633889764
2315,-23.460030343971603,-46.599775827890426
2316,-23.462239089739953,-46.59354618682675
2317,-23.458261625460842,-46.59326426525933
2318,-23.450968404455324,-46.59029663086846
2319,-23.44962868365244,-46.59320917134726
2320,-23.45141139482055,-46.59830052325554
2321,-23.447087052532147,-46.58896286987526
2322,-23.44582724792703,-46.594041452635466
2323,-23.45390683904279,-46.59826385951067
2324,-23.46393699169171,-46.59325636358602
2325,-23.45371083187526,-46.58623282440262
2326,-23.469932174738055,-46.60027797753365
2327,-23.4478188627182,-46.56519917161407
2328,-23.52665272378155,-46.59968238042157
2329,-23.498529090406663,-46.61824832751202
2330,-23.485207107409288,-46.617137212553985
2331,-23.483563057840094,-46.615909638764386
2332,-23.483044022479323,-46.62171374205576
2333,-23.480119562544882,-46.62123788686921
2334,-23.484101860214135,-46.61954582735863
2335,-23.483384901144277,-46.617242438956495
2336,-23.480980278973544,-46.617404943211874
2337,-23.478782126839395,-46.61473011261469
2338,-23.475521396753983,-46.618174289964806
2339,-23.47765438382004,-46.61550137762489
2340,-23.45713872892052,-46.61583759932997
2341,-23.465994437550172,-46.61529425904638
2342,-23.473772894564558,-46.61065993196461
2343,-23.468259237359327,-46.60528258955218
2344,-23.469482970995337,-46.610262259597214
2345,-23.469156918686082,-46.61373593886318
2346,-23.470017803715308,-46.60784665745604
2347,-23.46296089529484,-46.606935979327915
2348,-23.460637596471692,-46.610657773476866
2349,-23.45996251129224,-46.604311363595116
2350,-23.46153465392299,-46.60256392231088
2351,-23.454872001595557,-46.59968919597981
2352,-23.4543098301369,-46.59617595359519
2353,-23.452628659785415,-46.60534520521928
2354,-23.455019823232174,-46.604337445804376
2355,-23.45471752098763,-46.611340306831266
2356,-23.450952013067788,-46.6120693508881
2357,-23.447432667870324,-46.61389912813002
2358,-23.45478812266396,-46.608691353013036
2359,-23.445993870541372,-46.61898066019812
2360,-23.437007988257413,-46.57771258438444
2361,-23.43666388027887,-46.581489780273046
2362,-23.495114534908396,-46.58240066136795
2363,-23.432328025304585,-46.576089588461336
2364,-23.433946553560627,-46.58107272782646
2365,-23.44672484704006,-46.58664517421776
2366,-23.48704972044157,-46.61694759705835
2367,-23.46611800370015,-46.59029435654951
2368,-23.399985121746795,-46.57641915831548
2370,-23.463047461704097,-46.62244043904405
2371,-23.45901472098675,-46.618676577171286
2372,-23.460133858912773,-46.62467310948514
2373,-23.45486213553573,-46.61725337322244
2374,-23.453591722619432,-46.621758666088006
2375,-23.45362454928055,-46.62499693742512
2376,-23.45758139027741,-46.62810369318369
2377,-23.4567453746335,-46.6318071874121
2378,-23.455526962712277,-46.62968101335345
2401,-23.491215693776958,-46.62703135091489
2402,-23.4900621389616,-46.627270198009974
2403,-23.493868774222435,-46.62845585069229
2404,-23.491213392967175,-46.62910002034871
2405,-23.489251026197916,-46.63285252311396
2406,-23.487962884822114,-46.63034349593638
2407,-23.48478873894373,-46.62475051429702
2408,-23.482470907904478,-46.62718214553951
2409,-23.47784570873863,-46.62524202494913
2410,-23.475797168860204,-46.623018031146934
2411,-23.47572022522938,-46.62427728915881
2413,-23.482092301470693,-46.63577359410881
2415,-23.473746078944988,-46.63184336668436
2416,-23.478842158298363,-46.628617324161574
2417,-23.47742919441773,-46.63002667758018
2418,-23.47082939134664,-46.62917760461232
